voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Ric Bucher,Bleacher Report,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Ariza, Trevor -- HOU","Davis, Anthony -- NO","Duncan, Tim -- SA","Thompson, Klay -- GS","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rick Bonnell,Charlotte Observer,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gasol, Marc -- MEM","Butler, Jimmy -- CHI","Allen, Tony -- MEM","James, LeBron -- CLE","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Boone,ROOT Sports,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Butler, Jimmy -- CHI","Davis, Anthony -- NO","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Middleton, Khris -- MIL","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Tillery,Memphis Commercial Appeal,"James, LeBron -- CLE","Duncan, Tim -- SA","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Curry, Stephen -- GS","Ibaka, Serge -- OKC","Noah, Joakim -- CHI","Gasol, Marc -- MEM","Iguodala, Andre -- GS","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sage Steele,ABC Sports,"Green, Draymond -- GS","Duncan, Tim -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Davis, Anthony -- NO","Ariza, Trevor -- HOU","Jordan, DeAndre -- LAC","Wall, John -- WAS","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Amick,USA Today,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Ariza, Trevor -- HOU","Duncan, Tim -- SA","Bogut, Andrew -- GS","Wall, John -- WAS","Antetokounmpo, Giannis -- MIL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Smith,Bulls.com,"Green, Draymond -- GS","Davis, Anthony -- NO","Duncan, Tim -- SA","Allen, Tony -- MEM","Leonard, Kawhi -- SA","James, LeBron -- CLE","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Bradley, Avery -- BOS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Hastings,Altitude Sports & Entertainment,"Green, Draymond -- GS","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Millsap, Paul -- ATL","Davis, Anthony -- NO","Allen, Tony -- MEM","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Lauer,WFNZ-610AM,"Kidd-Gilchrist, Michael -- CHA","Leonard, Kawhi -- SA","Gobert, Rudy -- UTA","Allen, Tony -- MEM","Thompson, Klay -- GS","Antetokounmpo, Giannis -- MIL","Butler, Jimmy -- CHI","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Oladipo, Victor -- ORL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Deveney,The Sporting News,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Allen, Tony -- MEM","Paul, Chris -- LAC","Kidd-Gilchrist, Michael -- CHA","Middleton, Khris -- MIL","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Green, Danny -- SA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Grande,WEEI Radio,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Millsap, Paul -- ATL","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Kelley,WWL 105.3 FM,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Paul, Chris -- LAC","Green, Draymond -- GS","Allen, Tony -- MEM","Gasol, Pau -- CHI","Butler, Jimmy -- CHI","Teague, Jeff -- ATL",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Aschburner,NBA.com,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI","James, LeBron -- CLE","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Thompson, Klay -- GS","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Butler, Jimmy -- CHI","Westbrook, Russell -- OKC","Duncan, Tim -- SA","Leonard, Kawhi -- SA","Gasol, Marc -- MEM","Paul, Chris -- LAC","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Holman,Hawks Radio Network,"Davis, Anthony -- NO","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Leonard, Kawhi -- SA","Millsap, Paul -- ATL","James, LeBron -- CLE","Duncan, Tim -- SA","Carroll, DeMarre -- ATL","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Martin,Fox Sports Carolinas/SportSouth,"Leonard, Kawhi -- SA","Carroll, DeMarre -- ATL","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Green, Draymond -- GS","Griffin, Blake -- LAC","Duncan, Tim -- SA","Gobert, Rudy -- UTA","Wall, John -- WAS","Kidd-Gilchrist, Michael -- CHA",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Popper,The Record,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Allen, Tony -- MEM","Duncan, Tim -- SA","James, LeBron -- CLE","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ted Davis,WTMJ Radio,"Leonard, Kawhi -- SA","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Paul, Chris -- LAC","Gasol, Pau -- CHI","Noah, Joakim -- CHI","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Curry, Stephen -- GS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Capstraw,WFAN (660),"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Carroll, DeMarre -- ATL","Gobert, Rudy -- UTA","Wall, John -- WAS","Bradley, Avery -- BOS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Heinsohn,Comcast SportsNet,"Green, Draymond -- GS","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Bradley, Avery -- BOS","James, LeBron -- CLE","Leonard, Kawhi -- SA","Bogut, Andrew -- GS","Smart, Marcus -- BOS","Westbrook, Russell -- OKC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Fiorentino,Sun Sports,"Davis, Anthony -- NO","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Allen, Tony -- MEM","Wall, John -- WAS","Ibaka, Serge -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Beverley, Patrick -- HOU","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vince Ellis,Detroit Free Press,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Allen, Tony -- MEM","Kidd-Gilchrist, Michael -- CHA","Noel, Nerlens -- PHI","Bogut, Andrew -- GS","Green, Danny -- SA","Paul, Chris -- LAC",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Lowe,Grantland,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Bogut, Andrew -- GS","Paul, Chris -- LAC","Butler, Jimmy -- CHI","Allen, Tony -- MEM","Davis, Anthony -- NO","Gobert, Rudy -- UTA","Green, Danny -- SA","Wall, John -- WAS",2015,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falk,Salt Lake Tribune,"George, Paul--IND","Davis, Anthony--NO","Noah, Joakim--CHI","Beverley, Patrick -- HOU","Iguodala, Andre -- GS","Leonard, Kawhi--SA","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Butler, Jimmy--CHI","Allen, Tony--MEM",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al McCoy,KTAR Radio,"Tucker, P.J. -- PHO","Deng, Luol--CLE","Hibbert, Roy--IND","Paul, Chris -- LAC","Barnes, Matt -- LAC","Ibaka, Serge -- OKC","Lee, David -- GS","Howard, Dwight -- HOU","Bledsoe, Eric -- PHO","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Horton,WCCO 830-AM,"Iguodala, Andre -- GS","George, Paul--IND","Noah, Joakim--CHI","Butler, Jimmy--CHI","Paul, Chris -- LAC","James, LeBron--MIA","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Leonard, Kawhi--SA","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Slater,Oklahoman,"Ibaka, Serge -- OKC","Davis, Anthony--NO","Noah, Joakim--CHI","Iguodala, Andre -- GS","Paul, Chris -- LAC","George, Paul--IND","James, LeBron--MIA","Jordan, DeAndre -- LAC","Butler, Jimmy--CHI","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Land,Spurs Television,"Leonard, Kawhi--SA","Ibaka, Serge -- OKC","Noah, Joakim--CHI","George, Paul--IND","Paul, Chris -- LAC","Duncan, Tim--SA","Davis, Anthony--NO","Jordan, DeAndre -- LAC","James, LeBron--MIA","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Reiter,Foxsports.com,"Davis, Anthony--NO","George, Paul--IND","Noah, Joakim--CHI","Beverley, Patrick -- HOU","Paul, Chris -- LAC","Ibaka, Serge -- OKC","Gibson, Taj--CHI","Jordan, DeAndre -- LAC","Butler, Jimmy--CHI","Rubio, Ricky--MIN",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Schoening,WOAI Radio,"Ibaka, Serge -- OKC","George, Paul--IND","Noah, Joakim--CHI","Paul, Chris -- LAC","Allen, Tony--MEM","Butler, Jimmy--CHI","Leonard, Kawhi--SA","Jordan, DeAndre -- LAC","Sefolosha, Thabo -- OKC","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Simmons,Grantland,"Iguodala, Andre -- GS","George, Paul--IND","Noah, Joakim--CHI","Paul, Chris -- LAC","Beverley, Patrick -- HOU","Leonard, Kawhi--SA","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Matthews, Wesley--POR","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Wennington,ESPN AM 1000,"Ibaka, Serge -- OKC","James, LeBron--MIA","Noah, Joakim--CHI","Butler, Jimmy--CHI","George, Paul--IND","Gibson, Taj--CHI","Duncan, Tim--SA","Davis, Anthony--NO","Leonard, Kawhi--SA","Paul, Chris -- LAC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Worrell,Comcast SportsNet Houston,"Ibaka, Serge -- OKC","James, LeBron--MIA","Howard, Dwight -- HOU","Paul, Chris -- LAC","George, Paul--IND","Iguodala, Andre -- GS","Duncan, Tim--SA","Noah, Joakim--CHI","Batum, Nicolas -- POR","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Cooney,Philadelphia Daily News,"Iguodala, Andre -- GS","Noah, Joakim--CHI","Hibbert, Roy--IND","George, Paul--IND","Parker, Tony--SA","Ibaka, Serge -- OKC","Gibson, Taj--CHI","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Rondo, Rajon--BOS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bob Rathbun,Fox Sports South,"James, LeBron--MIA","Noah, Joakim--CHI","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Butler, Jimmy--CHI","Davis, Anthony--NO","Howard, Dwight -- HOU","Gasol, Marc -- MEM","Teague, Jeff -- ATL","Conley, Mike -- MEM",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brendan Brown,MSG Network,"George, Paul--IND","Leonard, Kawhi--SA","Noah, Joakim--CHI","Butler, Jimmy--CHI","Matthews, Wesley--POR","James, LeBron--MIA","Ibaka, Serge -- OKC","Davis, Anthony--NO","Paul, Chris -- LAC","Wall, John--WAS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Davis,Fox Sports Oklahoma,"Ibaka, Serge -- OKC","Noah, Joakim--CHI","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Curry, Stephen--GS","Leonard, Kawhi--SA","George, Paul--IND","Howard, Dwight -- HOU","Sefolosha, Thabo -- OKC","DeRozan, DeMar -- TOR",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Sieman,KFWB News Talk 980 AM/KWKW,"James, LeBron--MIA","Davis, Anthony--NO","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Beverley, Patrick -- HOU","Stephenson, Lance -- IND","George, Paul--IND","Noah, Joakim--CHI","Iguodala, Andre -- GS","Hill, George -- IND",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Wheeler,Fox Sports Radio/620AM,"James, LeBron--MIA","Duncan, Tim--SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony--MEM","George, Paul--IND","Ibaka, Serge -- OKC","Noah, Joakim--CHI","Butler, Jimmy--CHI","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Windhorst,ESPN.com,"Leonard, Kawhi--SA","Gibson, Taj--CHI","Hibbert, Roy--IND","Iguodala, Andre -- GS","Beverley, Patrick -- HOU","Duncan, Tim--SA","Noah, Joakim--CHI","Bogut, Andrew -- GS","Allen, Tony--MEM","George, Paul--IND",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candace Buckner,Indianapolis Star,"George, Paul--IND","Iguodala, Andre -- GS","Noah, Joakim--CHI","Beverley, Patrick -- HOU","Conley, Mike -- MEM","Ibaka, Serge -- OKC","Davis, Anthony--NO","Hibbert, Roy--IND","Paul, Chris -- LAC","Wall, John--WAS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedric Maxwell,WEEI Radio,"James, LeBron--MIA","Howard, Dwight -- HOU","Noah, Joakim--CHI","Allen, Tony--MEM","Wade, Dwyane -- MIA","George, Paul--IND","Bosh, Chris -- MIA","Hibbert, Roy--IND","Oladipo, Victor -- ORL","Wall, John--WAS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Gardner,Milwaukee Journal Sentinel,"Davis, Anthony--NO","Ibaka, Serge -- OKC","Noah, Joakim--CHI","George, Paul--IND","Iguodala, Andre -- GS","James, LeBron--MIA","Leonard, Kawhi--SA","Jordan, DeAndre -- LAC","Butler, Jimmy--CHI","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Broussard,ESPN The Magazine,"George, Paul--IND","Noah, Joakim--CHI","Hibbert, Roy--IND","Iguodala, Andre -- GS","Beverley, Patrick -- HOU","Leonard, Kawhi--SA","Davis, Anthony--NO","Howard, Dwight -- HOU","Allen, Tony--MEM","Paul, Chris -- LAC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Denari,Fox Sports Indiana,"George, Paul--IND","James, LeBron--MIA","Noah, Joakim--CHI","Paul, Chris -- LAC","Conley, Mike -- MEM","Ibaka, Serge -- OKC","Davis, Anthony--NO","Hibbert, Roy--IND","Leonard, Kawhi--SA","Iguodala, Andre -- GS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Mannix,Sports Illustrated,"George, Paul--IND","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Beverley, Patrick -- HOU","Iguodala, Andre -- GS","Duncan, Tim--SA","Leonard, Kawhi--SA","Noah, Joakim--CHI","Rubio, Ricky--MIN","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Marlowe,Altitude Sports & Entertainment,"James, LeBron--MIA","Duncan, Tim--SA","Noah, Joakim--CHI","Paul, Chris -- LAC","Bradley, Avery--BOS","George, Paul--IND","Davis, Anthony--NO","Jordan, DeAndre -- LAC","Butler, Jimmy--CHI","Iguodala, Andre -- GS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Sheridan,Sheridanhoops.com,"Ibaka, Serge -- OKC","James, LeBron--MIA","Jordan, DeAndre -- LAC","Tucker, P.J. -- PHO","Paul, Chris -- LAC","Brewer, Corey--MIN","George, Paul--IND","Davis, Anthony--NO","Sefolosha, Thabo -- OKC","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Johnson,106.7 The Fan,"Ariza, Trevor -- WAS","Noah, Joakim--CHI","Hibbert, Roy--IND","George, Paul--IND","Beverley, Patrick -- HOU","Iguodala, Andre -- GS","West, David -- IND","Duncan, Tim--SA","Stephenson, Lance -- IND","Parker, Tony--SA",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave McMenamin,ESPNLosAngeles.com,"Iguodala, Andre -- GS","James, LeBron--MIA","Noah, Joakim--CHI","George, Paul--IND","Allen, Tony--MEM","Leonard, Kawhi--SA","Durant, Kevin--OKC","Hibbert, Roy--IND","Beverley, Patrick -- HOU","Lowry, Kyle -- TOR",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Aldridge,TNT,"George, Paul--IND","Ibaka, Serge -- OKC","Noah, Joakim--CHI","Stephenson, Lance -- IND","Butler, Jimmy--CHI","West, David -- IND","Leonard, Kawhi--SA","Hibbert, Roy--IND","Allen, Tony--MEM","Hill, George -- IND",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Mayo,Mlive Media Group,"Ibaka, Serge -- OKC","Davis, Anthony -- NO","Jordan, DeAndre -- LAC","Rubio, Ricky--MIN","Iguodala, Andre -- GS","George, Paul--IND","Duncan, Tim--SA","Hibbert, Roy--IND","Beverley, Patrick -- HOU","Paul, Chris -- LAC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dei Lynam,Comcast SportsNet,"James, LeBron--MIA","George, Paul--IND","Noah, Joakim--CHI","Allen, Tony--MEM","Paul, Chris -- LAC","Duncan, Tim--SA","Iguodala, Andre -- GS","Hibbert, Roy--IND","Walker, Kemba -- CHA","Teague, Jeff -- ATL",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Neumann,ESPN 580 AM,"James, LeBron--MIA","Iguodala, Andre -- GS","Noah, Joakim--CHI","Paul, Chris -- LAC","Beverley, Patrick -- HOU","Ibaka, Serge -- OKC","Duncan, Tim--SA","Hibbert, Roy--IND","Butler, Jimmy--CHI","Rubio, Ricky--MIN",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominique Wilkins,Fox Sports South,"James, LeBron--MIA","Ibaka, Serge -- OKC","Howard, Dwight -- HOU","Paul, Chris -- LAC","Allen, Tony--MEM","Gibson, Taj--CHI","Millsap, Paul--ATL","Noah, Joakim--CHI","Parker, Tony--SA","Durant, Kevin--OKC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Smith,Toronto Star,"James, LeBron--MIA","Ibaka, Serge -- OKC","Noah, Joakim--CHI","Beverley, Patrick -- HOU","George, Paul--IND","Iguodala, Andre -- GS","Leonard, Kawhi--SA","Hibbert, Roy--IND","Paul, Chris -- LAC","Tucker, P.J. -- PHO",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwain Price,Ft. Worth Star Telegam,"Ibaka, Serge -- OKC","James, LeBron--MIA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Wall, John--WAS","George, Paul--IND","Leonard, Kawhi--SA","Howard, Dwight -- HOU","Ellis, Monta -- DAL","Curry, Stephen--GS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Sefko,Dallas Morning News,"Ibaka, Serge -- OKC","James, LeBron--MIA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Iguodala, Andre -- GS","George, Paul--IND","Gibson, Taj--CHI","Noah, Joakim--CHI","Allen, Tony--MEM","Leonard, Kawhi--SA",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Hasseltine,92.9 FM ESPN/680 AM,"James, LeBron--MIA","Duncan, Tim--SA","Noah, Joakim--CHI","Paul, Chris -- LAC","Allen, Tony--MEM","Gibson, Taj--CHI","Iguodala, Andre -- GS","Gasol, Marc -- MEM","Butler, Jimmy--CHI","Conley, Mike -- MEM",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Johnson,TNT,"Noah, Joakim--CHI","James, LeBron--MIA","Hibbert, Roy--IND","Beverley, Patrick -- HOU","George, Paul--IND","Leonard, Kawhi--SA","Davis, Anthony--NO","Ibaka, Serge -- OKC","Stephenson, Lance -- IND","Iguodala, Andre -- GS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fran Blinebury,NBA.com,"George, Paul--IND","James, LeBron--MIA","Noah, Joakim--CHI","Iguodala, Andre -- GS","Leonard, Kawhi--SA","Duncan, Tim--SA","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Stephenson, Lance -- IND","Lowry, Kyle -- TOR",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Isola,New York Daily News,"Durant, Kevin--OKC","James, LeBron--MIA","Noah, Joakim--CHI","Lowry, Kyle -- TOR","Hinrich, Kirk -- CHI","Ibaka, Serge -- OKC","Iguodala, Andre -- GS","Duncan, Tim--SA","Butler, Jimmy--CHI","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fred McLeod,Fox Sports Ohio,"James, LeBron--MIA","Ibaka, Serge -- OKC","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Butler, Jimmy--CHI","Iguodala, Andre -- GS","Leonard, Kawhi--SA","Noah, Joakim--CHI","Allen, Tony--MEM","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Gerould,CSN-CA,"Noah, Joakim--CHI","James, LeBron--MIA","Jordan, DeAndre -- LAC","Leonard, Kawhi--SA","Paul, Chris -- LAC","Davis, Anthony--NO","Ibaka, Serge -- OKC","Hibbert, Roy--IND","Iguodala, Andre -- GS","Allen, Tony--MEM",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Washburn,Boston Globe,"Ibaka, Serge -- OKC","Davis, Anthony--NO","Noah, Joakim--CHI","Paul, Chris -- LAC","Iguodala, Andre -- GS","James, LeBron--MIA","George, Paul--IND","Jordan, DeAndre -- LAC","Butler, Jimmy--CHI","Allen, Tony--MEM",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grant Napear,CSN-CA,"George, Paul--IND","Ibaka, Serge -- OKC","Noah, Joakim -- CHI","Paul, Chris -- LAC","Allen, Tony--MEM","James, LeBron--MIA","Leonard, Kawhi--SA","Jordan, DeAndre -- LAC","Sefolosha, Thabo -- OKC","Butler, Jimmy--CHI",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Beck,Bleacher Report,"Durant, Kevin--OKC","Ibaka, Serge -- OKC","Noah, Joakim--CHI","Leonard, Kawhi--SA","Butler, Jimmy--CHI","George, Paul--IND","Iguodala, Andre -- GS","Hibbert, Roy--IND","Allen, Tony--MEM","Beverley, Patrick -- HOU",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hubie Brown,ESPN,"James, LeBron--MIA","Leonard, Kawhi--SA","Noah, Joakim--CHI","Butler, Jimmy--CHI","Paul, Chris -- LAC","Granger, Danny--LAC","Ibaka, Serge -- OKC","Jordan, DeAndre -- LAC","Matthews, Wesley--POR","Wall, John--WAS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel Gutierrez,ESPN.com,"Iguodala, Andre -- GS","George, Paul--IND","Noah, Joakim--CHI","Butler, Jimmy--CHI","Paul, Chris -- LAC","Leonard, Kawhi--SA","Ibaka, Serge -- OKC","Jordan, DeAndre -- LAC","Thompson, Klay--GS","Westbrook, Russell--OKC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA Adande,ESPN.com,"George, Paul--IND","Iguodala, Andre -- GS","Hibbert, Roy--IND","Beverley, Patrick -- HOU","Stephenson, Lance -- IND","Leonard, Kawhi--SA","Duncan, Tim--SA","Noah, Joakim--CHI","Lowry, Kyle -- TOR","Sefolosha, Thabo -- OKC",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Armstrong,SportsNet/TSN,"Noah, Joakim--CHI","Howard, Dwight -- HOU","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Allen, Tony--MEM","Leonard, Kawhi--SA","James, LeBron--MIA","Hibbert, Roy--IND","Iguodala, Andre -- GS","Walker, Kemba -- CHA",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Jones,Sacramento Bee,"Ibaka, Serge -- OKC","James, LeBron--MIA","Noah, Joakim--CHI","Butler, Jimmy--CHI","Conley, Mike -- MEM","George, Paul--IND","Gibson, Taj--CHI","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Thompson, Klay--GS",2014,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
